phage,numprot,host
Salmonella phage FSL SP-012,132,Salmonella
Mycobacterium phage Breezona,132,Mycobacterium
Escherichia coli O157 typing phage 1,132,Escherichia
Mycobacterium phage MkaliMitinis3,132,Mycobacterium
Mycobacterium phage Bongo,132,Mycobacterium
Saccharomonospora phage PIS 136,132,Saccharomonospora
Mycobacterium phage Winky,132,Mycobacterium
Salmonella phage FSL SP-010,131,Salmonella
Escherichia phage vB_EcoM_AYO145A,131,Escherichia
Escherichia phage phiSUSP2,131,Escherichia
Salmonella phage SPT-1,131,Salmonella
Escherichia phage JH2,131,Escherichia
Escherichia phage 172-1,130,Escherichia
Mycobacterium phage Lolly9,130,Mycobacterium
Escherichia coli O157 typing phage 15,130,Escherichia
Mycobacterium phage Snenia,130,Mycobacterium
Salmonella phage 40,130,Salmonella
Salmonella phage SSU5,130,Salmonella
Lactococcus phage KSY1,130,Lactococcus
Synechococcus phage S-EIVl,129,Synechococcus
Pseudomonas phage SM1,129,Pseudomonas
Staphylococcus phage vB_SepS_SEP9,129,Staphylococcus
Cellulophaga phage phi19:3,129,Cellulophaga
Salmonella phage FSL SP-107,129,Salmonella
Mycobacterium phage Faith1,129,Mycobacterium
Mycobacterium phage Whirlwind,128,Mycobacterium
Salmonella phage Mushroom,128,Salmonella
Mycobacterium phage Catdawg,128,Mycobacterium
Enterobacteria phage Phieco32,128,Enterobacteria
Mycobacterium phage Archie,128,Mycobacterium
Mycobacterium phage Lumos,128,Mycobacterium
Mycobacterium phage Firecracker,128,Mycobacterium
Salmonella phage FO1a,128,Salmonella
Lactobacillus phage ATCC 8014-B2,127,Lactobacillus
Cellulophaga phage phi13:2,127,Cellulophaga
Burkholderia phage BcepF1,127,Burkholderia
Agrobacterium phage 7-7-1,127,Agrobacterium
Mycobacterium phage JoeDirt,126,Mycobacterium
Enterobacteria phage VT2-Sa,126,Enterobacteria
Escherichia phage KBNP1711,126,Escherichia
Citrobacter phage Moogle,126,Citrobacter
Salmonella phage HB-2014,126,Salmonella
Mycobacterium phage ADLER F1725,126,Mycobacterium
Gordonia phage GMA2,126,Gordonia
Phage vB_EcoP_SU10,125,Phage
Escherichia phage HY02,125,Escherichia
Mycobacterium phage Adler,125,Mycobacterium
Mycobacterium phage YungJamal,124,Mycobacterium
uncultured Mediterranean phage MEDS1 group,123,uncultured
Mycobacterium phage bron,123,Mycobacterium
Cellulophaga phage phi18:3,123,Cellulophaga
Lactobacillus phage LfeInf,123,Lactobacillus
Mycobacterium phage Zakhe101,123,Mycobacterium
Alteromonas phage vB_AmaP_AD45-P2,122,Alteromonas
Mycobacterium phage Corndog,122,Mycobacterium
Escherichia phage RCS47,122,Escherichia
Mycobacterium phage UPIE,122,Mycobacterium
Mycobacterium phage Dylan,121,Mycobacterium
Cellulophaga phage phi46:3,121,Cellulophaga
Microbacterium phage vB_MoxS-ISF9,120,Microbacterium
Alteromonas phage vB_AmaP_AD45-P1,120,Alteromonas
Escherichia phage ECBP2,120,Escherichia
Enterobacteria phage MS2,120,Enterobacteria
Listeria phage P70,119,Listeria
Cellulophaga phage phiST,119,Cellulophaga
uncultured aquatic phage,119,uncultured
Enterobacteria phage P7,119,Enterobacteria
Salmonella phage SBA-1781,118,Salmonella
Erwinia phage phiEa21-4,118,Erwinia
Erwinia phage phiEa104,118,Erwinia
Alteromonas phage vB_AmaP_AD45-P3,117,Alteromonas
Mycobacterium phage Florinda,117,Mycobacterium
Caulobacter phage Seuss,117,Caulobacter
Vibrio phage VD1,117,Vibrio
Erwinia phage vB_EamM-M7,117,Erwinia
Thermus phage P2345,117,Thermus
Alteromonas phage vB_AmaP_AD45-P4,116,Alteromonas
Thermus phage P7426,116,Thermus
Achromobacter phage JWF,116,Achromobacter
Mycobacterium phage Yoshi,116,Mycobacterium
Listeria phage LP-032,116,Listeria
Listeria phage LP-114,116,Listeria
Gordonia phage Kampe,115,Gordonia
Erwinia phage vB_EamP-S6,115,Erwinia
Caulobacter phage Sansa,115,Caulobacter
Gordonia phage PatrickStar,115,Gordonia
Cronobacter phage vB_CsaP_GAP52,115,Cronobacter
Pseudomonas phage LUZ7,115,Pseudomonas
Gordonia phage GMA6,115,Gordonia
Vibrio phage VBP47,114,Vibrio
Halorubrum phage HF2,114,Halorubrum
Vibrio phage SIO-2,114,Vibrio
Listeria phage LP-026,114,Listeria
Listeria phage LP-037,114,Listeria
Vibrio phage VBP32,114,Vibrio
Gordonia phage Orchid,114,Gordonia
Pseudomonas phage YMC11/02/R656,113,Pseudomonas
Cellulophaga phage phi19:1,113,Cellulophaga
Pseudomonas phage KPP21,113,Pseudomonas
Listeria phage LP-110,113,Listeria
Bacillus phage Staley,113,Bacillus
Mycobacterium phage Che8,112,Mycobacterium
Arthrobacter phage PrincessTrina,112,Arthrobacter
Mycobacterium phage Quico,112,Mycobacterium
Mycobacterium phage Girafales,112,Mycobacterium
Mycobacterium phage Estave1,112,Mycobacterium
Mycobacterium phage Sparkdehlily,111,Mycobacterium
Bacillus phage Slash,111,Bacillus
Mycobacterium phage Che9d,111,Mycobacterium
Mycobacterium phage MosMoris,111,Mycobacterium
Mycobacterium phage Llama,111,Mycobacterium
Enterobacteria phage T3,110,Enterobacteria
Bacillus phage Stahl,110,Bacillus
Mycobacterium phage BuzzLyseyear,110,Mycobacterium
Mycobacterium phage Taj,110,Mycobacterium
Bacillus phage Stills,110,Bacillus
Mycobacterium phage Rumpelstiltskin,110,Mycobacterium
Vibrio phage phi 1,110,Vibrio
Rhizobium phage 16-3,110,Rhizobium
Mycobacterium phage Spartacus,110,Mycobacterium
Enterobacteria phage NJ01,109,Enterobacteria
Halorubrum phage GNf2,109,Halorubrum
Cellulophaga phage phi19:2,109,Cellulophaga
Staphylococcus phage SA1,109,Staphylococcus
Mycobacterium phage Barnyard,109,Mycobacterium
Mycobacterium phage Patience,109,Mycobacterium
Mycobacterium phage Tweety,109,Mycobacterium
Arthrobacter phage Wilde,109,Arthrobacter
Tsukamurella phage TIN4,109,Tsukamurella
Tsukamurella phage TIN3,109,Tsukamurella
Mycobacterium phage Zapner,108,Mycobacterium
Mycobacterium phage Ramsey,108,Mycobacterium
Mycobacterium phage Mozy,108,Mycobacterium
Mycobacterium phage Wee,108,Mycobacterium
Bacillus phage SPP1,108,Bacillus
Gordonia phage Hotorobo,108,Gordonia
Mycobacterium phage Marvin,107,Mycobacterium
Vibrio phage vB_VpaS_MAR10,107,Vibrio
Rhodococcus phage ReqiPepy6,107,Rhodococcus
Mycobacterium phage CaptainTrips,107,Mycobacterium
Tsukamurella phage TIN2,107,Tsukamurella
Mycobacterium phage Shauna1,107,Mycobacterium
Mycobacterium phage ShiLan,107,Mycobacterium
Mycobacterium phage Avani,107,Mycobacterium
Mycobacterium phage RockyHorror,107,Mycobacterium
Rhodococcus phage ReqiPoco6,107,Rhodococcus
Mycobacterium phage Bobi,107,Mycobacterium
Mycobacterium phage Ovechkin,106,Mycobacterium
Campylobacter phage CGC-2007,106,Campylobacter
Cellulophaga phage phi10:1,106,Cellulophaga
Mycobacterium phage Madruga,106,Mycobacterium
Mycobacterium phage Job42,106,Mycobacterium
Mycobacterium phage Jabbawokkie,106,Mycobacterium
Mycobacterium phage Mutaforma13,106,Mycobacterium
Mycobacterium phage PDRPxv,106,Mycobacterium
Mycobacterium phage PDRPv,106,Mycobacterium
Mycobacterium phage DeadP,106,Mycobacterium
Mycobacterium phage Bipolar,106,Mycobacterium
Mycobacterium phage Alex,105,Mycobacterium
Mycobacterium phage Boomer,105,Mycobacterium
Mycobacterium phage Seagreen,105,Mycobacterium
Mycobacterium phage Kimberlium,105,Mycobacterium
Mycobacterium phage Athena,105,Mycobacterium
Mycobacterium phage Hamulus,105,Mycobacterium
Mycobacterium phage Validus,105,Mycobacterium
Natrialba phage PhiCh1,105,Natrialba
Salmonella phage 37,105,Salmonella
Mycobacterium phage Dante,105,Mycobacterium
Gordonia phage Monty,105,Gordonia
Cellulophaga phage phi3:1,105,Cellulophaga
Arthrobacter phage Tank,105,Arthrobacter
Rhodococcus phage ReqiDocB7,105,Rhodococcus
Mycobacterium phage DLane,105,Mycobacterium
Mycobacterium phage IsaacEli,104,Mycobacterium
Salmonella phage 21,104,Salmonella
Mycobacterium phage Serpentine,104,Mycobacterium
Gordonia phage GMA3,104,Gordonia
Mycobacterium phage Akoma,104,Mycobacterium
Mycobacterium phage Chah,104,Mycobacterium
Mycobacterium phage Hawkeye,104,Mycobacterium
Cellulophaga phage phi47:1,104,Cellulophaga
Mycobacterium phage SG4,104,Mycobacterium
Cellulophaga phage phi13:1,104,Cellulophaga
Mycobacterium phage Dorothy,104,Mycobacterium
Mycobacterium phage GUmbie,104,Mycobacterium
Mycobacterium phage Hammer,104,Mycobacterium
Mycobacterium phage PMC,104,Mycobacterium
Acaryochloris phage A-HIS2,104,Acaryochloris
Streptococcus phage SPQS1,104,Streptococcus
Mycobacterium phage Nacho,104,Mycobacterium
Mycobacterium phage Kikipoo,104,Mycobacterium
Mycobacterium phage FluffyNinja,103,Mycobacterium
Brevibacillus phage Jimmer1,103,Brevibacillus
Mycobacterium phage Ibhubesi,103,Mycobacterium
Mycobacterium phage Audrey,103,Mycobacterium
Brevibacillus phage Powder,103,Brevibacillus
Leptospira phage vB_LinZ_10-LE1,103,Leptospira
Burkholderia phage Bups phi1,103,Burkholderia
Mycobacterium phage Heathcliff,103,Mycobacterium
Shigella phage pSb-1,103,Shigella
Mycobacterium phage Corofin,103,Mycobacterium
Mycobacterium phage Blue7,103,Mycobacterium
Brevibacillus phage Jimmer2,103,Brevibacillus
Mycobacterium phage Fredward,103,Mycobacterium
Brevibacillus phage Osiris,103,Brevibacillus
Gordonia phage GTE7,103,Gordonia
Mycobacterium phage Swish,103,Mycobacterium
Mycobacterium phage ThreeOh3D2,103,Mycobacterium
Mycobacterium phage CloudWang3,103,Mycobacterium
Mycobacterium phage Kamiyu,103,Mycobacterium
Mycobacterium phage Drago,103,Mycobacterium
Mycobacterium phage Phlyer,103,Mycobacterium
Mycobacterium phage Yoshand,103,Mycobacterium
Mycobacterium phage Chandler,103,Mycobacterium
Leptospira phage vB_LbrZ_5399-LE1,103,Leptospira
Mycobacterium phage OSmaximus,102,Mycobacterium
Mycobacterium phage Numberten,102,Mycobacterium
Mycobacterium phage Zonia,102,Mycobacterium
Gordonia phage GTE5,102,Gordonia
Mycobacterium phage JacAttac,102,Mycobacterium
Mycobacterium phage Fruitloop,102,Mycobacterium
Mycobacterium phage Cerasum,102,Mycobacterium
Mycobacterium phage Badfish,102,Mycobacterium
Mycobacterium phage Squirty,102,Mycobacterium
Mycobacterium phage Hades,102,Mycobacterium
Mycobacterium phage Daenerys,102,Mycobacterium
Mycobacterium phage Fang,102,Mycobacterium
Vibrio phage SSP002,102,Vibrio
Mycobacterium phage Vivaldi,102,Mycobacterium
Mycobacterium phage Daisy,102,Mycobacterium
Enterobacteria phage P2,102,Enterobacteria
Mycobacterium phage Oosterbaan,102,Mycobacterium
Mycobacterium phage Inventum,102,Mycobacterium
Mycobacterium phage Pipefish,102,Mycobacterium
Mycobacterium phage Artemis2UCLA,102,Mycobacterium
Brevibacillus phage Emery,102,Brevibacillus
Mycobacterium phage OrangeOswald,102,Mycobacterium
Mycobacterium phage Scoot17C,102,Mycobacterium
Synechococcus phage S-CBS2,102,Synechococcus
Mycobacterium phage SkiPole,102,Mycobacterium
Mycobacterium phage Gadjet,102,Mycobacterium
Mycobacterium phage Sigman,101,Mycobacterium
Mycobacterium phage Saal,101,Mycobacterium
Mycobacterium phage SargentShorty9,101,Mycobacterium
Mycobacterium phage Phamished,101,Mycobacterium
Mycobacterium phage Catalina,101,Mycobacterium
Mycobacterium phage Keshu,101,Mycobacterium
Mycobacterium phage Vista,101,Mycobacterium
Gordonia phage GMA7,101,Gordonia
Mycobacterium phage Squid,101,Mycobacterium
Mycobacterium phage Oline,101,Mycobacterium
Mycobacterium phage Kazan,101,Mycobacterium
Mycobacterium phage Lasso,101,Mycobacterium
Mycobacterium phage Manad,101,Mycobacterium
Mycobacterium phage Hertubise,101,Mycobacterium
Cellulophaga phage phi40:1,101,Cellulophaga
Mycobacterium phage Nepal,101,Mycobacterium
Mycobacterium phage Barriga,101,Mycobacterium
Mycobacterium phage ShiVal,101,Mycobacterium
Mycobacterium phage Hetaeria,101,Mycobacterium
Mycobacterium phage Serendipity,101,Mycobacterium
Mycobacterium phage Piglet,101,Mycobacterium
Mycobacterium phage Phatniss,101,Mycobacterium
Mycobacterium phage Cabrinians,101,Mycobacterium
Mycobacterium phage EmpTee,101,Mycobacterium
Mycobacterium phage Zaka,101,Mycobacterium
Mycobacterium phage Pacc40,101,Mycobacterium
Cellulophaga phage phi38:1,101,Cellulophaga
Mycobacterium phage Papyrus,100,Mycobacterium
Mycobacterium phage Emerson,100,Mycobacterium
Gordonia phage Benczkowski14,100,Gordonia
Mycobacterium phage ShedlockHolmes,100,Mycobacterium
Mycobacterium phage KingVeveve,100,Mycobacterium
Arthrobacter phage Kitkat,100,Arthrobacter
Mycobacterium phage KLucky39,100,Mycobacterium
Mycobacterium phage Echild,100,Mycobacterium
Mycobacterium phage Smeadley,100,Mycobacterium
Mycobacterium phage Weiss13,100,Mycobacterium
Mycobacterium phage Apizium,100,Mycobacterium
Mycobacterium phage 39HC,100,Mycobacterium
Mycobacterium phage ABU,100,Mycobacterium
Mycobacterium phage SDcharge11,100,Mycobacterium
Mycobacterium phage Thora,100,Mycobacterium
Mycobacterium phage VohminGhazi,100,Mycobacterium
Mycobacterium phage ChrisnMich,100,Mycobacterium
Mycobacterium phage TallGRassMM,100,Mycobacterium
Mycobacterium phage Orion,100,Mycobacterium
Mycobacterium phage PG1,100,Mycobacterium
Mycobacterium phage Llij,100,Mycobacterium
Mycobacterium phage Pixie,100,Mycobacterium
uncultured Mediterranean phage MEDS2 group,100,uncultured
Mycobacterium phage Bernardo,100,Mycobacterium
Mycobacterium phage Velveteen,100,Mycobacterium
Mycobacterium phage 40BC,100,Mycobacterium
Mycobacterium phage Colbert,100,Mycobacterium
Arthrobacter phage vB_ArtM-ArV1,99,Arthrobacter
Mycobacterium phage Harvey,99,Mycobacterium
Mycobacterium phage Pipsqueak,99,Mycobacterium
Mycobacterium phage McFly,99,Mycobacterium
Arthrobacter phage Laroye,99,Arthrobacter
Mycobacterium phage Gyarad,99,Mycobacterium
Mycobacterium phage Eremos,99,Mycobacterium
Arthrobacter phage Salgado,99,Arthrobacter
Arthrobacter phage Circum,99,Arthrobacter
Mycobacterium phage Aeneas,99,Mycobacterium
Mycobacterium phage SiSi,99,Mycobacterium
Mycobacterium phage Vortex,99,Mycobacterium
Mycobacterium phage Myxus,99,Mycobacterium
Gordonia phage Soups,99,Gordonia
Gordonia phage Rosalind,99,Gordonia
Mycobacterium phage Phipps,99,Mycobacterium
Mycobacterium phage AlanGrant,99,Mycobacterium
Mycobacterium phage Morgushi,99,Mycobacterium
Mycobacterium phage macncheese,99,Mycobacterium
Mycobacterium phage Kratio,99,Mycobacterium
Mycobacterium phage Pioneer,99,Mycobacterium
Mycobacterium phage Cooper,99,Mycobacterium
Mycobacterium phage Pops,99,Mycobacterium
Mycobacterium phage Sarfire,99,Mycobacterium
Mycobacterium phage Astro,99,Mycobacterium
Gordonia phage Kvothe,99,Gordonia
Mycobacterium phage Vincenzo,98,Mycobacterium
Mycobacterium phage Anaya,98,Mycobacterium
Enterococcus phage IMEEF1,98,Enterococcus
Gordonia phage BritBrat,98,Gordonia
Mycobacterium phage Murdoc,98,Mycobacterium
Mycobacterium phage Mulciber,98,Mycobacterium
Mycobacterium phage Adawi,98,Mycobacterium
Mycobacterium phage Send513,98,Mycobacterium
Gordonia phage GordTnk2,98,Gordonia
Mycobacterium phage PhrostyMug,98,Mycobacterium
Pseudomonas phage D3,98,Pseudomonas
Mycobacterium phage UncleHowie,98,Mycobacterium
Gordonia phage Katyusha,98,Gordonia
Gordonia phage KatherineG,98,Gordonia
Mycobacterium phage NaSiaTalie,98,Mycobacterium
Mycobacterium phage Alsfro,98,Mycobacterium
Arthrobacter phage KellEzio,98,Arthrobacter
Mycobacterium phage JAMaL,98,Mycobacterium
Mycobacterium phage DotProduct,98,Mycobacterium
Mycobacterium phage Thor,98,Mycobacterium
Mycobacterium phage Che12,98,Mycobacterium
Mycobacterium phage Jolie1,98,Mycobacterium
Mycobacterium phage Phaedrus,98,Mycobacterium
Mycobacterium phage Soto,98,Mycobacterium
Bacillus phage phi105,98,Bacillus
Pseudoalteromonas phage pYD6-A,98,Pseudoalteromonas
Mycobacterium phage JC27,97,Mycobacterium
Mycobacterium phage Puhltonio,97,Mycobacterium
Escherichia phage PA45,97,Escherichia
Escherichia phage PA27,97,Escherichia
Enterobacteria phage 933W,97,Enterobacteria
Leptospira phage vB_LnoZ_CZ214-LE1,97,Leptospira
Mycobacterium phage Larva,97,Mycobacterium
Mycobacterium phage Nerujay,97,Mycobacterium
Mycobacterium phage Serenity,97,Mycobacterium
Gordonia phage GordDuk1,97,Gordonia
Mycobacterium phage Graduation,97,Mycobacterium
Mycobacterium phage CASbig,97,Mycobacterium
Mycobacterium phage Newman,97,Mycobacterium
Mycobacterium phage BrownCNA,97,Mycobacterium
Mycobacterium phage EricB,97,Mycobacterium
Mycobacterium phage Hosp,97,Mycobacterium
Mycobacterium phage Reprobate,97,Mycobacterium
Mycobacterium phage DaVinci,97,Mycobacterium
Mycobacterium phage DS6A,97,Mycobacterium
Mycobacterium phage Loser,97,Mycobacterium
Mycobacterium phage Suffolk,97,Mycobacterium
Mycobacterium phage Acadian,97,Mycobacterium
Mycobacterium phage Alma,96,Mycobacterium
Pseudomonas phage PMG1,96,Pseudomonas
Leptospira phage vB_LalZ_80412-LE1,96,Leptospira
Mycobacterium phage LadyBird,96,Mycobacterium
Mycobacterium phage 20ES,96,Mycobacterium
Mycobacterium phage Eidsmoe,96,Mycobacterium
Mycobacterium phage Adzzy,96,Mycobacterium
Mycobacterium phage Gladiator,96,Mycobacterium
Mycobacterium phage Wheeler,96,Mycobacterium
Mycobacterium phage Lamina13,96,Mycobacterium
Mycobacterium phage Brocalys,96,Mycobacterium
Mycobacterium phage AnnaL29,96,Mycobacterium
Vibrio phage SHOU24,96,Vibrio
Mycobacterium phage Bruns,96,Mycobacterium
Mycobacterium phage Baee,96,Mycobacterium
Mycobacterium phage Potter,96,Mycobacterium
Mycobacterium phage OkiRoe,96,Mycobacterium
Mycobacterium phage BBPiebs31,96,Mycobacterium
Mycobacterium phage Equemioh13,96,Mycobacterium
Mycobacterium phage Luchador,96,Mycobacterium
Rhizobium phage vB_RglS_P106B,95,Rhizobium
Mycobacterium phage Stinger,95,Mycobacterium
Mycobacterium phage Konstantine,95,Mycobacterium
Escherichia phage PA36,95,Escherichia
Mycobacterium phage Power,95,Mycobacterium
Mycobacterium phage RedRock,95,Mycobacterium
Mycobacterium phage First,95,Mycobacterium
Mycobacterium phage XFactor,95,Mycobacterium
Mycobacterium phage Omnicron,95,Mycobacterium
Mycobacterium phage SweetiePie,95,Mycobacterium
Mycobacterium phage PopTart,95,Mycobacterium
Mycobacterium phage EagleEye,95,Mycobacterium
Mycobacterium phage Zemanar,95,Mycobacterium
Mycobacterium phage Anubis,95,Mycobacterium
Mycobacterium phage Saintus,95,Mycobacterium
Acaryochloris phage A-HIS1,95,Acaryochloris
Mycobacterium phage KayaCho,95,Mycobacterium
Mycobacterium phage BarrelRoll,95,Mycobacterium
Azospirillum phage Cd,95,Azospirillum
Mycobacterium phage Phelemich,95,Mycobacterium
Enterococcus phage vB_IME198,95,Enterococcus
Mycobacterium phage Kugel,95,Mycobacterium
Arthrobacter phage Mudcat,95,Arthrobacter
Mycobacterium phage CrimD,95,Mycobacterium
Pseudomonas phage KPP23,95,Pseudomonas
Corynebacterium phage P1201,95,Corynebacterium
Mycobacterium phage Murucutumbu,95,Mycobacterium
Gordonia phage Demosthenes,95,Gordonia
Rhizobium phage vB_RleM_PPF1,94,Rhizobium
Mycobacterium phage CRB1,94,Mycobacterium
Mycobacterium phage Glass,94,Mycobacterium
Mycobacterium phage Turbido,94,Mycobacterium
Mycobacterium phage Nigel,94,Mycobacterium
Pseudomonas phage phiKT28,94,Pseudomonas
Mycobacterium phage Adephagia,94,Mycobacterium
Pseudomonas phage S12-1,94,Pseudomonas
Mycobacterium phage Dreamboat,94,Mycobacterium
Shigella phage pSf-1,94,Shigella
Mycobacterium phage TA17A,94,Mycobacterium
Pseudomonas phage NH-4,94,Pseudomonas
Enterococcus phage VD13,94,Enterococcus
Mycobacterium phage Milly,94,Mycobacterium
Mycobacterium phage Mufasa,94,Mycobacterium
Pseudomonas phage vB_Pae_PS44,94,Pseudomonas
Mycobacterium phage Dori,94,Mycobacterium
Gordonia phage GRU1,94,Gordonia
Mycobacterium phage Bane1,94,Mycobacterium
Mycobacterium phage fionn,94,Mycobacterium
Mycobacterium phage Piro94,94,Mycobacterium
Mycobacterium phage Euphoria,94,Mycobacterium
Brevibacillus phage Davies,94,Brevibacillus
Mycobacterium phage Jasper,94,Mycobacterium
Mycobacterium phage Seabiscuit,94,Mycobacterium
Gordonia phage GTE8,94,Gordonia
Pseudomonas phage LMA2,94,Pseudomonas
Mycobacterium phage Trouble,94,Mycobacterium
Escherichia phage ECML-117,94,Escherichia
Mycobacterium phage RidgeCB,94,Mycobacterium
Brevibacillus phage Abouo,94,Brevibacillus
Mycobacterium phage Treddle,94,Mycobacterium
Mycobacterium phage ChipMunk,94,Mycobacterium
Enterobacteria phage Bp4,94,Enterobacteria
Mycobacterium phage Angelica,94,Mycobacterium
Mycobacterium phage Odin,94,Mycobacterium
Acinetobacter phage Presley,94,Acinetobacter
Erwinia phage Ea9-2,94,Erwinia
Mycobacterium phage jaws,94,Mycobacterium
Cellulophaga phage phiSM,94,Cellulophaga
Mycobacterium phage Bane2,94,Mycobacterium
Mycobacterium phage SWU1,94,Mycobacterium
Vibrio phage vB_VorS-PVo5,93,Vibrio
Mycobacterium phage Rufus,93,Mycobacterium
Escherichia phage PA18,93,Escherichia
Escherichia phage PA11,93,Escherichia
Escherichia phage PA16,93,Escherichia
Pseudomonas phage JG024,93,Pseudomonas
Mycobacterium phage EvilGenius,93,Mycobacterium
Pseudomonas phage PB1 (isolate Pseudomonas aeruginosa/Scotland/Bradley/1968),93,Pseudomonas
Mycobacterium phage Damien,93,Mycobacterium
Escherichia phage PA5,93,Escherichia
Escherichia phage PA42,93,Escherichia
Escherichia phage PA30,93,Escherichia
Escherichia phage PA32,93,Escherichia
Mycobacterium phage Malinsilva,93,Mycobacterium
Escherichia phage PA21,93,Escherichia
Mycobacterium phage PackMan,93,Mycobacterium
Escherichia phage PA33,93,Escherichia
Escherichia phage PA4,93,Escherichia
Escherichia phage PA44,93,Escherichia
Clostridium phage phiMMP03,93,Clostridium
Escherichia phage PA50,93,Escherichia
Yersinia phage PY100,93,Yersinia
Pseudomonas phage vB_PaeM_PAO1_Ab27,93,Pseudomonas
Escherichia phage PA29,93,Escherichia
Roseovarius sp. 217 phage 1,92,Roseovarius
Mycobacterium phage Predator,92,Mycobacterium
Mycobacterium phage Ares,92,Mycobacterium
Pseudomonas phage vB_PaeM_CEB_DP1,92,Pseudomonas
Mycobacterium phage Cheetobro,92,Mycobacterium
Mycobacterium phage ZoeJ,92,Mycobacterium
Mycobacterium phage Tres,92,Mycobacterium
Escherichia phage PA52,92,Escherichia
Mycobacterium phage MrGordo,92,Mycobacterium
Mycobacterium phage TM4,92,Mycobacterium
Mycobacterium phage Wooldri,92,Mycobacterium
Mycobacterium phage Jeffabunny,92,Mycobacterium
Mycobacterium phage LizLemon,92,Mycobacterium
Pseudomonas phage DL68,92,Pseudomonas
Mycobacterium phage Trixie,92,Mycobacterium
Mycobacterium phage Larenn,92,Mycobacterium
Paenibacillus phage Tripp,92,Paenibacillus
Mycobacterium phage Oaker,92,Mycobacterium
Pseudomonas phage SN,92,Pseudomonas
Mycobacterium phage Hedgerow,92,Mycobacterium
Mycobacterium phage PattyP,92,Mycobacterium
Pseudomonas phage SPM-1,92,Pseudomonas
Mycobacterium phage KSSJEB,92,Mycobacterium
Mycobacterium phage Slarp,92,Mycobacterium
Mycobacterium phage Perseus,92,Mycobacterium
Salmonella phage 36,91,Salmonella
Escherichia Stx1-converting recombinant phage HUN/2013,91,Escherichia
Pseudomonas phage phiKTN6,91,Pseudomonas
Mycobacterium phage JenCasNa,91,Mycobacterium
Mycobacterium phage Switzer,91,Mycobacterium
Mycobacterium phage Abrogate,91,Mycobacterium
Mycobacterium phage Maverick,91,Mycobacterium
Achromobacter phage JWAlpha,91,Achromobacter
Enterobacteria phage CAjan,91,Enterobacteria
Salmonella phage 35,91,Salmonella
Gordonia phage Woes,91,Gordonia
Stx2-converting phage Stx2a_F422,91,Escherichia
Mycobacterium phage LHTSCC,91,Mycobacterium
Mycobacterium phage HanShotFirst,91,Mycobacterium
Mycobacterium phage Spike509,91,Mycobacterium
Mycobacterium phage Godines,91,Mycobacterium
Mycobacterium phage Dynamix,91,Mycobacterium
Mycobacterium phage Melvin,91,Mycobacterium
Pseudomonas phage phi176,91,Pseudomonas
Enterobacter phage IME11,91,Enterobacter
Vibrio phage CHOED,91,Vibrio
Mycobacterium phage Edtherson,91,Mycobacterium
Mycobacterium phage Taurus,91,Mycobacterium
Mycobacterium phage Phantastic,91,Mycobacterium
Mycobacterium phage Pari,91,Mycobacterium
Pseudomonas phage RWG,91,Pseudomonas
Mycobacterium phage Sparky,91,Mycobacterium
Mycobacterium phage ArcherNM,91,Mycobacterium
Salmonella phage FSL SP-069,90,Salmonella
Mycobacterium phage Benedict,90,Mycobacterium
Pseudomonas phage Pa2,90,Pseudomonas
Edwardsiella phage eiAU,90,Edwardsiella
Mycobacterium phage Hercules11,90,Mycobacterium
Enterobacteria phage phi80,90,Enterobacteria
Pseudomonas phage NP3,90,Pseudomonas
Mycobacterium phage Lockley,90,Mycobacterium
Pseudomonas phage YH6,90,Pseudomonas
Escherichia phage slur01,90,Escherichia
Mycobacterium phage Museum,90,Mycobacterium
Streptomyces phage SF3,90,Streptomyces
Mycobacterium phage SirHarley,90,Mycobacterium
Pseudomonas phage DL52,90,Pseudomonas
Erwinia phage vB_EamM-Y2,90,Erwinia
Pseudomonas phage LIT1,90,Pseudomonas
Escherichia phage PA28,90,Escherichia
Phage phiJL001,90,Phage
Mycobacterium phage L5,90,Mycobacterium
Mycobacterium phage Rosebush,90,Mycobacterium
Pseudomonas phage DL64,90,Pseudomonas
Gordonia phage Gmala1,90,Gordonia
Mycobacterium phage TheloniousMonk,90,Mycobacterium
Mycobacterium phage MarQuardt,90,Mycobacterium
Mycobacterium phage 40AC,90,Mycobacterium
Pseudomonas phage 14-1,90,Pseudomonas
Mycobacterium phage Violet,90,Mycobacterium
Citrobacter phage Stevie,90,Citrobacter
Salmonella phage FSL SP-062,90,Salmonella
Mycobacterium phage Sbash,89,Mycobacterium
Pseudomonas phage KPP25,89,Pseudomonas
Arthrobacter phage Gordon,89,Arthrobacter
Clostridium phage phiC2,89,Clostridium
Mycobacterium phage BellusTerra,89,Mycobacterium
Rhodobacter phage RcNL1,89,Rhodobacter
Mycobacterium phage Obama12,89,Mycobacterium
Mycobacterium phage Tasp14,89,Mycobacterium
Mycobacterium phage PLot,89,Mycobacterium
Pseudomonas phage Jollyroger,89,Pseudomonas
Pseudomonas phage DL60,89,Pseudomonas
Pseudomonas phage LKO4,89,Pseudomonas
Mycobacterium phage Tiffany,89,Mycobacterium
Escherichia phage PA12,89,Escherichia
Mycobacterium phage Airmid,89,Mycobacterium
Achromobacter phage JWDelta,89,Achromobacter
Escherichia phage PA51,89,Escherichia
Mycobacterium phage Flux,89,Mycobacterium
Mycobacterium phage KBG,89,Mycobacterium
